# MiniBooNE coherent photon (\Delta -> \gamma) background
# calculated using GiBUU with highest radiative BRs
#   E [MeV]  BG [events/MeV]
       250    0.57635
     337.5    0.89539
       425       1.14
     512.5     0.5985
     612.5    0.40107
     737.5    0.13974
       875   0.088708
      1025   0.039418
      1175   0.023271
      1375  0.0082767
      2250  0.0024714
